FADS1|hsa01040 (Biosynthesis of unsaturated fatty acids),FADS1|hsa01100 (Metabolic pathways),FADS1|hsa01212 (Fatty acid metabolism),ALDOC|hsa00010 (Glycolysis / Gluconeogenesis),ALDOC|hsa00030 (Pentose phosphate pathway),ALDOC|hsa00051 (Fructose and mannose metabolism),ALDOC|hsa01100 (Metabolic pathways),ALDOC|hsa01200 (Carbon metabolism),ALDOC|hsa01230 (Biosynthesis of amino acids),ALDOC|hsa04066 (HIF-1 signaling pathway),KLB|hsa04714 (Thermogenesis),GPX3|hsa00480 (Glutathione metabolism),GPX3|hsa01100 (Metabolic pathways),GPX3|hsa04918 (Thyroid hormone synthesis),GPX3|hsa05014 (Amyotrophic lateral sclerosis),GPX3|hsa05016 (Huntington disease),GPX3|hsa05022 (Pathways of neurodegeneration - multiple diseases)
NoChange,NoChange,NoChange,Down,Down,Down,Down,Down,Down,Down,Down,NoChange,NoChange,NoChange,NoChange,NoChange,NoChange
Down,Down,Down,Down,Down,Down,Down,Down,Down,Down,Down,NoChange,NoChange,NoChange,NoChange,NoChange,NoChange
Down,Down,Down,Down,Down,Down,Down,Down,Down,Down,Down,Up,Up,Up,Up,Up,Up
Down,Down,Down,Down,Down,Down,Down,Down,Down,Down,NoChange,Up,Up,Up,Up,Up,Up
Up,Up,Up,NoChange,NoChange,NoChange,NoChange,NoChange,NoChange,NoChange,NoChange,Up,Up,Up,Up,Up,Up
Down,Down,Down,Down,Down,Down,Down,Down,Down,Down,Down,Up,Up,Up,Up,Up,Up
Down,Down,Down,NoChange,NoChange,NoChange,NoChange,NoChange,NoChange,NoChange,NoChange,Up,Up,Up,Up,Up,Up
Down,Down,Down,Down,Down,Down,Down,Down,Down,Down,NoChange,NoChange,NoChange,NoChange,NoChange,NoChange,NoChange
Down,Down,Down,Down,Down,Down,Down,Down,Down,Down,Down,Up,Up,Up,Up,Up,Up
Down,Down,Down,Down,Down,Down,Down,Down,Down,Down,Down,NoChange,NoChange,NoChange,NoChange,NoChange,NoChange
NoChange,NoChange,NoChange,Down,Down,Down,Down,Down,Down,Down,Down,NoChange,NoChange,NoChange,NoChange,NoChange,NoChange
Down,Down,Down,Down,Down,Down,Down,Down,Down,Down,Down,NoChange,NoChange,NoChange,NoChange,NoChange,NoChange
Down,Down,Down,NoChange,NoChange,NoChange,NoChange,NoChange,NoChange,NoChange,NoChange,NoChange,NoChange,NoChange,NoChange,NoChange,NoChange
Down,Down,Down,Down,Down,Down,Down,Down,Down,Down,Down,NoChange,NoChange,NoChange,NoChange,NoChange,NoChange
Down,Down,Down,Down,Down,Down,Down,Down,Down,Down,Down,NoChange,NoChange,NoChange,NoChange,NoChange,NoChange
Down,Down,Down,Down,Down,Down,Down,Down,Down,Down,Down,Up,Up,Up,Up,Up,Up
Down,Down,Down,Down,Down,Down,Down,Down,Down,Down,Down,NoChange,NoChange,NoChange,NoChange,NoChange,NoChange
Down,Down,Down,Down,Down,Down,Down,Down,Down,Down,Down,Up,Up,Up,Up,Up,Up
Down,Down,Down,Down,Down,Down,Down,Down,Down,Down,Down,NoChange,NoChange,NoChange,NoChange,NoChange,NoChange
Down,Down,Down,Down,Down,Down,Down,Down,Down,Down,Down,NoChange,NoChange,NoChange,NoChange,NoChange,NoChange
NoChange,NoChange,NoChange,Down,Down,Down,Down,Down,Down,Down,Down,Up,Up,Up,Up,Up,Up
Down,Down,Down,Down,Down,Down,Down,Down,Down,Down,Down,NoChange,NoChange,NoChange,NoChange,NoChange,NoChange
Down,Down,Down,Down,Down,Down,Down,Down,Down,Down,Down,Up,Up,Up,Up,Up,Up
Down,Down,Down,Down,Down,Down,Down,Down,Down,Down,Down,Up,Up,Up,Up,Up,Up
